incident_id,source_field,source_value,mapped_ethics_issue,mapped_application_area,mapping_reason
776,text_for_classification,error,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
780,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
780,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
864,text_for_classification,generative ai,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
864,text_for_classification,fraud,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1545,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
1545,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
1457,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1457,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
777,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
777,text_for_classification,without consent,Privacy,,"Matched privacy, surveillance, or data-protection terms."
777,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1464,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1464,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1573,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1573,text_for_classification,inaccurate,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
1365,text_for_classification,openai,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1365,text_for_classification,bypass,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
775,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
775,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
801,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
801,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
969,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
969,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
781,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
781,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
800,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
800,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1458,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1458,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
778,text_for_classification,alexa,,Smart home,Matched home-assistant or smart-home terms.
778,text_for_classification,error,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
779,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
779,text_for_classification,fraud,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
785,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
785,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
782,text_for_classification,generative ai,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
782,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
791,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
791,text_for_classification,failure,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
802,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
802,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
806,text_for_classification,face recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
806,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
806,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
856,text_for_classification,generative ai,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
856,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
840,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
840,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
1324,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1324,text_for_classification,error,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
805,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
805,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
813,text_for_classification,robot,,Intelligent service robots,Matched robotics or embodied-system terms.
813,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
858,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
858,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1137,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1137,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
1065,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1065,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
817,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
817,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
807,text_for_classification,chatgpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
807,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
947,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
947,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
972,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
972,text_for_classification,killed,Physical safety,,"Matched physical harm, collision, or fatality terms."
972,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
818,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
818,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
854,text_for_classification,autonomous vehicle,,Autonomous driving,Matched autonomous-driving terms.
854,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
841,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
841,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1014,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1014,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1194,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1194,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
811,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
811,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
814,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
814,text_for_classification,without consent,Privacy,,"Matched privacy, surveillance, or data-protection terms."
814,text_for_classification,impersonat,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
865,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
865,text_for_classification,sensitive data,Privacy,,"Matched privacy, surveillance, or data-protection terms."
865,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
815,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
815,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
839,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
839,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
825,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
825,text_for_classification,error,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
906,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
906,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
906,text_for_classification,phishing,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
819,text_for_classification,biometric,,Identity authentication,Matched identity verification or biometric authentication terms.
819,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1354,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1354,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
808,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
808,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
828,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
828,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
868,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
868,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
820,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
820,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
822,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
822,text_for_classification,discriminat,Racial discrimination,,"Matched race, ethnicity, or antisemitism discrimination terms."
822,text_for_classification,discriminat,Gender discrimination,,"Matched sex, gender, or sexuality discrimination terms."
822,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
822,text_for_classification,fraud,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
925,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
925,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
1163,text_for_classification,facial recognition,,Identity authentication,Matched identity verification or biometric authentication terms.
1163,text_for_classification,personal data,Privacy,,"Matched privacy, surveillance, or data-protection terms."
1163,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
824,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
824,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1459,text_for_classification,physician,,Smart healthcare,Matched healthcare or clinical terms.
1459,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
848,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
848,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
848,text_for_classification,psychological harm,Mental health,,Matched mental-health or emotional-harm terms.
849,text_for_classification,probation,,Predictive policing,Matched policing or criminal-justice terms.
849,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
833,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
833,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
831,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
831,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
1089,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1089,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
850,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
850,text_for_classification,death,Physical safety,,"Matched physical harm, collision, or fatality terms."
851,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
851,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
827,text_for_classification,openai,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
827,text_for_classification,hallucinat,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
915,text_for_classification,education department,,AI education,Matched education-related deployment terms.
915,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
859,text_for_classification,openai,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
859,text_for_classification,inaccurate,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
1297,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1297,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
867,text_for_classification,chatgpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
867,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
852,text_for_classification,chatgpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
852,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
953,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
953,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
837,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
837,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
862,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
862,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
869,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
869,text_for_classification,died,Physical safety,,"Matched physical harm, collision, or fatality terms."
869,text_for_classification,mental health,Mental health,,Matched mental-health or emotional-harm terms.
845,text_for_classification,chatbot,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
845,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
900,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
900,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
887,text_for_classification,school district,,AI education,Matched education-related deployment terms.
887,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1064,text_for_classification,investment,,Smart finance,"Matched finance, insurance, or trading terms."
1064,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
990,text_for_classification,school district,,AI education,Matched education-related deployment terms.
990,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
843,text_for_classification,school district,,AI education,Matched education-related deployment terms.
843,text_for_classification,inaccurate,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
1035,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1035,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
912,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
912,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1379,text_for_classification,nurse,,Smart healthcare,Matched healthcare or clinical terms.
1379,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
876,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
876,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
857,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
857,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
855,text_for_classification,chatgpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
855,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
1342,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1342,text_for_classification,without consent,Privacy,,"Matched privacy, surveillance, or data-protection terms."
1342,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1448,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1448,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
870,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
870,text_for_classification,sensitive data,Privacy,,"Matched privacy, surveillance, or data-protection terms."
870,text_for_classification,malware,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
929,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
929,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
880,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
880,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
873,text_for_classification,recommendation,,Intelligent recommendation,"Matched recommendation, ranking, or personalization terms."
873,text_for_classification,self-harm,Mental health,,Matched mental-health or emotional-harm terms.
874,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
874,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
863,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
863,text_for_classification,self-harm,Mental health,,Matched mental-health or emotional-harm terms.
928,text_for_classification,investment,,Smart finance,"Matched finance, insurance, or trading terms."
928,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
861,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
861,text_for_classification,suicide,Mental health,,Matched mental-health or emotional-harm terms.
871,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
871,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
909,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
909,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
872,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
872,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
877,text_for_classification,investment,,Smart finance,"Matched finance, insurance, or trading terms."
877,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
961,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
961,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
899,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
899,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
878,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
878,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
955,text_for_classification,openai,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
955,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
932,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
932,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
883,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
883,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
914,text_for_classification,investment,,Smart finance,"Matched finance, insurance, or trading terms."
914,text_for_classification,personal data,Privacy,,"Matched privacy, surveillance, or data-protection terms."
914,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1172,text_for_classification,chatbot,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1172,text_for_classification,bug,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
881,text_for_classification,robotaxi,,Autonomous driving,Matched autonomous-driving terms.
881,text_for_classification,collision,Physical safety,,"Matched physical harm, collision, or fatality terms."
886,text_for_classification,chatgpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
886,text_for_classification,injured,Physical safety,,"Matched physical harm, collision, or fatality terms."
882,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
882,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
884,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
884,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
885,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
885,text_for_classification,bug,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
921,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
921,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1030,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1030,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
888,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
888,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
895,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
895,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
889,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
889,text_for_classification,crash,Physical safety,,"Matched physical harm, collision, or fatality terms."
889,text_for_classification,failed,Inappropriate use (bad performance),,"Matched poor performance, malfunction, or incorrect-output terms."
890,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
890,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
891,text_for_classification,school district,,AI education,Matched education-related deployment terms.
891,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
893,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
893,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
897,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
897,text_for_classification,data leak,Privacy,,"Matched privacy, surveillance, or data-protection terms."
897,text_for_classification,malware,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1048,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1048,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1098,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1098,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
901,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
901,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
896,text_for_classification,mugshot,,Predictive policing,Matched policing or criminal-justice terms.
896,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
902,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
902,text_for_classification,scam,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
910,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
910,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1383,text_for_classification,chatgpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1383,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
1557,text_for_classification,openai,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1557,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1295,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1295,text_for_classification,privacy,Privacy,,"Matched privacy, surveillance, or data-protection terms."
1295,text_for_classification,fraud,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1036,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1036,text_for_classification,explosion,Physical safety,,"Matched physical harm, collision, or fatality terms."
1036,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
931,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
931,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
1041,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1041,text_for_classification,suicide,Mental health,,Matched mental-health or emotional-harm terms.
1246,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1246,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1143,text_for_classification,investment,,Smart finance,"Matched finance, insurance, or trading terms."
1143,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
916,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
916,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1577,text_for_classification,chatgpt,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1577,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
1052,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1052,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1049,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1049,text_for_classification,,Other or unclear,,No ethics-issue trigger matched the public incident text.
913,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
913,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1199,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
1199,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
924,text_for_classification,investment,,Smart finance,"Matched finance, insurance, or trading terms."
924,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
1069,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
1069,text_for_classification,exploit,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
920,text_for_classification,investment,,Smart finance,"Matched finance, insurance, or trading terms."
920,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
938,text_for_classification,ai-generated,,Language/vision model,"Matched language-model, chatbot, or computer-vision terms."
938,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
918,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
918,text_for_classification,deepfake,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
922,text_for_classification,,,Other or unclear,No application-area trigger matched the public incident text.
922,text_for_classification,scam,Unethical use (illegal use),,"Matched fraud, malicious misuse, or adversarial exploitation terms."
